ID;teamName;PUNTS;PJ;PG;PE;PP;GF;GC;DIFF;SANC
1;Vilanova Hipersimply;0;0;0;0;0;0;0;0;0
2;Alcarràs;0;0;0;0;0;0;0;0;0
3;Cardedeu;0;0;0;0;0;0;0;0;0
4;El Papiol;0;0;0;0;0;0;0;0;0
5;La Salle Bonanova Júnior;0;0;0;0;0;0;0;0;0
6;Llavaneres-Caldes d'Estrac;0;0;0;0;0;0;0;0;0
7;Molins de Rei B;0;0;0;0;0;0;0;0;0
8;Parets;0;0;0;0;0;0;0;0;0
9;Pau Casals;0;0;0;0;0;0;0;0;0
10;Sant Andreu;0;0;0;0;0;0;0;0;0
11;Sant Esteve Sesrovires B;0;0;0;0;0;0;0;0;0
12;Sant Just;0;0;0;0;0;0;0;0;0
13;Santpedor;0;0;0;0;0;0;0;0;0
14;Torro d'agramunt;0;0;0;0;0;0;0;0;0
